Item Requested,Count,Size,Measure In,Item Bought,Shopping Trip,Notes,Day,Meal
Almonds,2,3,lb. ,Kirland Almonds,1,,,
Annie's Mac & Cheese,15,6,oz.,Annie's Organic Mac & Cheese,1,,,
Canned Black Beans,8,15,oz.,Organic Black Kidney Beans,1,Need one more can,,
Canned Kidney Beans,8,15,oz.,Organic Kidney Beans,1,Need one more can,,
Canned Peaches,4,24,oz.,Sliced Peaches,1,Actually in glass.,,
Cereal,2,35,oz.,Frosted Mini-Wheats,1,,,
Cereal,2,38,oz.,Raisin Bran,1,,,
Craisins,3,24,oz.,Organic Craisins,1,,,
Granola Bars,48,,,Nature Valley Trail Mix Bars,1,,,
Granola Bars,48,,,Nature Valley Crunch Oats and Honey,1,,,
Honey,6,24,oz.,Busy Bee Organic Honey,1,,,
Jam,2,42,oz.,Walls Berry Farm Organic Red Raspberry Fruit Spread,1,,,
Jam,2,42,oz.,Kirkland Organic Strawberry Spread,1,,,
Mayonnaise,6,22,fl. oz.,Best Foods Mayo,1,,,
Pasta,12,500,gr.,"Organic Pasta - Penne, Genelli, Casarecce",1,,,
Pasta Sauce,3,32,oz.,Classico Organic Pasta Sauce,1,,,
Peanut M&Ms,1,56,oz.,Peanut M&Ms,,,,
Pickles,2,32,fl. oz.,Farmer's Garden Pickles,1,,,
Pickles,2,46,fl. oz.,Petite Polish Dill Pickles,1,,,
Pretzels,1,26,oz.,Snack Factory Pretzel Crisps,1,,,
Quinoa,1,4,lb. ,Organic TruRoots Quinoa,1,10 cups*Add to Master Look Up,,
Salad Dressing,2,24,fl. oz.,Newman's Own Organic,1,,,
White Sugar,1,10,lb. ,Organic White Sugar,1,22.5 cups,,
Nutella,6,26.5,oz.,Nutella,1,,,
Crackers,8,6,oz.,Ancient Grains Crackers,1,,,
Almond Butter,9,26,oz.,Maranatha Roasted Almond Butter,1,,,
Peanut Butter,14,32,oz.,Organic Brad's Peanut Butter,1,,,
Tortilla Chips,3,40,oz.,Kirkland Organic Tortilla Chips,1,,,